sample_name	immuno_sample_id	Mouse	Genotype	Tissue	Sex	Age	IL17A	age_number	anonymized_name	collection_timestamp	description	dna_extracted	elevation	empo_1	empo_2	empo_3	env_biome	env_feature	env_material	env_package	geo_loc_name	host_age	host_age_units	host_body_habitat	host_body_mass_index	host_body_product	host_body_site	host_common_name	host_life_stage	host_scientific_name	host_subject_id	host_taxid	host_weight	host_weight_units	intervention	latitude	longitude	mouse_strain	physical_specimen_location	physical_specimen_remaining	qiita_study_id	sample_type	scientific_name	sex	taxon_id	title	tube_id	strain_sex	cohort	keep	mouse_id	mouse_number
14957.MOUSE31.CAGE96.FSPFHET.S5	31_SPF Het_SI	31	SPF Het	SI	F	5 month	8.84	5	MOUSE31.CAGE96.FSPFHET.S5	11/1/21	mouse fecal sample 363132993	False	263.0	Host-associated	Animal	Animal distal gut	urban biome	animal-associated habitat	feces	host-associated	USA:CA:Pasadena	5.0	months	UBERON:feces	not applicable	UBERON:feces	UBERON:feces	mouse	adult	Mus musculus	CAGE 96	10091.0	not provided	g	Sacrifice	34.1	-118.13	Het 5XFAD	Caltech	False	14957.0	feces	mouse gut metagenome	female	410661.0	Project 3 5XFAD Aim 1-Alzheimers Gut Microbiome Project	363132993.0	Het 5XFAD_female	COHORT 10	True	MOUSE31	31
14957.MOUSE32.CAGE96.FSPFHET.S5	32_SPF Het_SI	32	SPF Het	SI	F	5 month	11.229999999999999	5	MOUSE32.CAGE96.FSPFHET.S5	11/1/21	mouse fecal sample 363133989	False	263.0	Host-associated	Animal	Animal distal gut	urban biome	animal-associated habitat	feces	host-associated	USA:CA:Pasadena	5.0	months	UBERON:feces	not applicable	UBERON:feces	UBERON:feces	mouse	adult	Mus musculus	CAGE 96	10091.0	not provided	g	Sacrifice	34.1	-118.13	Het 5XFAD	Caltech	False	14957.0	feces	mouse gut metagenome	female	410661.0	Project 3 5XFAD Aim 1-Alzheimers Gut Microbiome Project	363133989.0	Het 5XFAD_female	COHORT 10	True	MOUSE32	32
14957.MOUSE33.CAGE96.FSPFHET.S5	33_SPF Het_SI	33	SPF Het	SI	F	5 month	8.25	5	MOUSE33.CAGE96.FSPFHET.S5	11/1/21	mouse fecal sample 363133999	False	263.0	Host-associated	Animal	Animal distal gut	urban biome	animal-associated habitat	feces	host-associated	USA:CA:Pasadena	5.0	months	UBERON:feces	not applicable	UBERON:feces	UBERON:feces	mouse	adult	Mus musculus	CAGE 96	10091.0	not provided	g	Sacrifice	34.1	-118.13	Het 5XFAD	Caltech	False	14957.0	feces	mouse gut metagenome	female	410661.0	Project 3 5XFAD Aim 1-Alzheimers Gut Microbiome Project	363133999.0	Het 5XFAD_female	COHORT 10	True	MOUSE33	33
14957.MOUSE34.CAGE96.FSPFHET.S5	34_SPF Het_SI	34	SPF Het	SI	F	5 month	10.959999999999999	5	MOUSE34.CAGE96.FSPFHET.S5	11/1/21	mouse fecal sample 363134006	False	263.0	Host-associated	Animal	Animal distal gut	urban biome	animal-associated habitat	feces	host-associated	USA:CA:Pasadena	5.0	months	UBERON:feces	not applicable	UBERON:feces	UBERON:feces	mouse	adult	Mus musculus	CAGE 96	10091.0	not provided	g	Sacrifice	34.1	-118.13	Het 5XFAD	Caltech	False	14957.0	feces	mouse gut metagenome	female	410661.0	Project 3 5XFAD Aim 1-Alzheimers Gut Microbiome Project	363134006.0	Het 5XFAD_female	COHORT 10	True	MOUSE34	34
14957.MOUSE35.CAGE97.FSPFHET.S5	35_SPF Het_SI	35	SPF Het	SI	F	5 month	8.46	5	MOUSE35.CAGE97.FSPFHET.S5	11/1/21	mouse fecal sample 363134024	False	263.0	Host-associated	Animal	Animal distal gut	urban biome	animal-associated habitat	feces	host-associated	USA:CA:Pasadena	5.0	months	UBERON:feces	not applicable	UBERON:feces	UBERON:feces	mouse	adult	Mus musculus	CAGE 97	10091.0	not provided	g	Sacrifice	34.1	-118.13	Het 5XFAD	Caltech	False	14957.0	feces	mouse gut metagenome	female	410661.0	Project 3 5XFAD Aim 1-Alzheimers Gut Microbiome Project	363134024.0	Het 5XFAD_female	COHORT 10	True	MOUSE35	35
14957.MOUSE36.CAGE97.FSPFHET.S5	36_SPF Het_SI	36	SPF Het	SI	F	5 month	11.889999999999999	5	MOUSE36.CAGE97.FSPFHET.S5	11/1/21	mouse fecal sample 363134021	False	263.0	Host-associated	Animal	Animal distal gut	urban biome	animal-associated habitat	feces	host-associated	USA:CA:Pasadena	5.0	months	UBERON:feces	not applicable	UBERON:feces	UBERON:feces	mouse	adult	Mus musculus	CAGE 97	10091.0	not provided	g	Sacrifice	34.1	-118.13	Het 5XFAD	Caltech	False	14957.0	feces	mouse gut metagenome	female	410661.0	Project 3 5XFAD Aim 1-Alzheimers Gut Microbiome Project	363134021.0	Het 5XFAD_female	COHORT 10	True	MOUSE36	36
14957.MOUSE37.CAGE97.FSPFHET.S5	37_SPF Het_SI	37	SPF Het	SI	F	5 month	11.41	5	MOUSE37.CAGE97.FSPFHET.S5	11/1/21	mouse fecal sample 363132991	False	263.0	Host-associated	Animal	Animal distal gut	urban biome	animal-associated habitat	feces	host-associated	USA:CA:Pasadena	5.0	months	UBERON:feces	not applicable	UBERON:feces	UBERON:feces	mouse	adult	Mus musculus	CAGE 97	10091.0	not provided	g	Sacrifice	34.1	-118.13	Het 5XFAD	Caltech	False	14957.0	feces	mouse gut metagenome	female	410661.0	Project 3 5XFAD Aim 1-Alzheimers Gut Microbiome Project	363132991.0	Het 5XFAD_female	COHORT 10	True	MOUSE37	37
14957.MOUSE38.CAGE97.FSPFHET.S5	38_SPF Het_SI	38	SPF Het	SI	F	5 month	8.45	5	MOUSE38.CAGE97.FSPFHET.S5	11/1/21	mouse fecal sample 363132990	False	263.0	Host-associated	Animal	Animal distal gut	urban biome	animal-associated habitat	feces	host-associated	USA:CA:Pasadena	5.0	months	UBERON:feces	not applicable	UBERON:feces	UBERON:feces	mouse	adult	Mus musculus	CAGE 97	10091.0	not provided	g	Sacrifice	34.1	-118.13	Het 5XFAD	Caltech	False	14957.0	feces	mouse gut metagenome	female	410661.0	Project 3 5XFAD Aim 1-Alzheimers Gut Microbiome Project	363132990.0	Het 5XFAD_female	COHORT 10	True	MOUSE38	38
14957.MOUSE45.CAGE98.FSPFWT.S5	45_SPF WT_SI	45	SPF WT	SI	F	5 month	8.28	5	MOUSE45.FSPFWT.S5	11/3/21	mouse fecal sample 363132986	False	263.0	Host-associated	Animal	Animal distal gut	urban biome	animal-associated habitat	feces	host-associated	USA:CA:Pasadena	5.0	months	UBERON:feces	not applicable	UBERON:feces	UBERON:feces	mouse	adult	Mus musculus	CAGE 98	10091.0	not provided	g	Sacrifice	34.1	-118.13	WT 5XFAD	Caltech	False	14957.0	feces	mouse gut metagenome	female	410661.0	Project 3 5XFAD Aim 1-Alzheimers Gut Microbiome Project	363132986.0	WT 5XFAD_female	COHORT 10	True	MOUSE45	45
14957.MOUSE46.CAGE98.FSPFWT.S5	46_SPF WT_SI	46	SPF WT	SI	F	5 month	4.75	5	MOUSE46.FSPFWT.S5	11/3/21	mouse fecal sample 363132998	False	263.0	Host-associated	Animal	Animal distal gut	urban biome	animal-associated habitat	feces	host-associated	USA:CA:Pasadena	5.0	months	UBERON:feces	not applicable	UBERON:feces	UBERON:feces	mouse	adult	Mus musculus	CAGE 98	10091.0	not provided	g	Sacrifice	34.1	-118.13	WT 5XFAD	Caltech	False	14957.0	feces	mouse gut metagenome	female	410661.0	Project 3 5XFAD Aim 1-Alzheimers Gut Microbiome Project	363132998.0	WT 5XFAD_female	COHORT 10	True	MOUSE46	46
